Total path length: 2.8792541446842774 miles
Total points: 10
284.44353722279936 -391.59383451942523 36.33389027787667
318.9397783356925 91.17305177082645 34.78298594198326
352.2528306080059 574.023026610213 34.75892837135494
519.39506341416 1028.2447062596884 31.839852481603227
129.11030920716513 742.0076207274598 34.466110413820346
557.5534375808619 967.1527818422243 33.88726715164897
86.1063164777688 857.6472150519695 36.02549560992099
20.246439708943143 378.15129660544284 30.82297556584672
-155.6175462016873 829.0678268791812 37.194861339842696
-270.09424051996194 1299.332592328978 31.802299913373155
